Region,Label,DQ_10kbp,DQ_8kbp,DQ_6kbp,DQ_4kbp,DQ_3kbp,DQ_2kbp,DQ_1kbp,DQ_1500CE,DQ_1750CE,DQ_1850CE
93,Kenya,1,1,1,1,1,1,1,1,1,1
94,Somalia,1,1,0,0,1,1,1,1,1,1
95,Tanzania,1,1,1,1,1,1,1.5,2,1.5,1.5
96,"Zambia, Zimbabwe, Malawi, and Mozambique",1,1,1,1,0.5,1,1,1,1,1
97,Madagascar,0,0,0,0,0,0,1,1,1,1
98,Northwestern Kazakhstan,0.5,0.5,1,1.5,1.5,1.5,1.5,1,1,1
99,Western Central Asia,0,0,0,1,2,2,2,1,0,0
100,Northern Kazakhstan,0,0,1,2,2,2,2,2,2,2
101,Eastern Kazakhstan,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1
102,Turan Lowland,1,1,1,1,1,1,1,1,1,1
103,Southeastern Central Asia,1,1,1,1,1,1,1,1,1,1
104,Afghanistan,1,1,1,1,1,1,1,1,1,1
105,Pakistan,1.5,1.5,2,2,1.5,2,1.5,1.5,1.5,1.5
106,Himalayas,0,0,0,1,1,1,1,1,1,1
107,Northern India,1,1,1,2,2,2,2,2,2,2
108,Southwestern India,1,1,1,2,2,2,2,2,2,2
109,Northwestern India,1,1,2,2,2,2,1,2,2,2
110,Southern India,1,1,1,2,2,2,1,1,1,1
111,Eastern India and Bangladesh,0,0,1,1,1.5,1.5,1.5,2,2,2
112,Northeastern India and Bhutan,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
113,Sri Lanka,1,1,1,1,1,1,1,1,1,1
114,Northwestern China,0,0,0,1,1,1,1,1,1,1
115,Mongolia,1,1,1,1,2,2,2,1,1,1
116,Northeastern China,1,1,1.5,1.5,1.5,1,1,1,1,1
117,Korea,1,1,2,2,2,2,2,1,2,2
118,Tibet,1,1,1,1,1,1,1,2,2,2
119,North Central China,1,1.5,2,2,2,2,1,1,1,1
120,Northern China,1,2,2,2,2,2,2,2,2,2
121,South Central China,1,1,1,1.5,2,2,1.5,2,2,2
122,Southeastern China and Taiwan,1,1,1,1,2,2,2,2,2,2
123,Eastern China,1,1.5,2,2,2,2,1.5,2,2,2
124,Japan,2,2,2,2,2,2,2,2,2,2
125,Myanmar,1,1,1,1,1,1,1,1,1,1
126,Thailand,1,1,1,2,2,2,2,2,2,2
127,Laos,1,1,1,1,1,1,1,1,1,1
128,Vietnam and Cambodia,1,1,1,1,1,1,2,2,1,1
129,Peninsular Malaysia,1,1,1,1,1,1,2,2,2,2
130,Sumatra,0,1,1,1,1,1,2,2,1,1
131,Java and Timor,1,1,1,1,1,2,2,2,2,2
132,Borneo,2,2,2,1,0,0,1,1,1,1
133,Philippines,1,1,1,1,1,1,2,2,1,1
134,Indonesia,1,1,1,1,1,1,1,1.5,1.5,1.5
135,Papua New Guinea,1,1,1,1,1,1,1,1,1,1
136,Western Australia,1,1,1,1,1,1,1,1,1,1
137,Northern Territory Australia,2,2,2,2,2,2,2,2,2,2
138,South Australia,1,1,1,1,1,1,1,2,2,2
139,Queensland,1,1,1,1,1,1,1,1,1,1
140,New South Wales,2,2,2,2,2,2,2,2,2,2
141,Victoria and Tasmania,2,2,2,1,1,1,2,2,2,2
142,Melanesia,1,1,1,1,1.5,1.5,1.5,1.5,1.5,1
143,New Zealand,0,0,0,0,0,0,1,2,2,2
144,Micronesia,0,0,0,1,1,2,2,2,2,2
145,Polynesia,0,0,0,0,1,1,1,1,1,1
146,Hawaii,0,0,0,0,0,0,1,2,2,2
