Region,Label,FHG_10kbp,FHG_8kbp,FHG_6kbp,FHG_4kbp,FHG_3kbp,FHG_2kbp,FHG_1kbp,FHG_1500CE,FHG_1750CE,FHG_1850CE,EXAG_10kbp,EXAG_8kbp,EXAG_6kbp,EXAG_4kbp,EXAG_3kbp,EXAG_2kbp,EXAG_1kbp,EXAG_1500CE,EXAG_1750CE,EXAG_1850CE,INAG_10kbp,INAG_8kbp,INAG_6kbp,INAG_4kbp,INAG_3kbp,INAG_2kbp,INAG_1kbp,INAG_1500CE,INAG_1750CE,INAG_1850CE,PAS_10kbp,PAS_8kbp,PAS_6kbp,PAS_4kbp,PAS_3kbp,PAS_2kbp,PAS_1kbp,PAS_1500CE,PAS_1750CE,PAS_1850CE
20,Southern USA,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Minimal,Minimal,Common,Common,Widespread,Common,Common,None,None,None,None,None,Minimal,Common,Widespread,Common,Widespread,None,None,None,None,None,None,None,None,Common,Widespread
21,Southeastern USA,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,None,None,None,None,Minimal,Common,Common,Common,Widespread,Widespread
22,Northern Mexico,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Minimal,Common,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Minimal,Minimal,Common,Common,Common,Widespread,Widespread,None,None,None,None,None,None,None,None,Widespread,Widespread
23,Central Mexico,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,Minimal,Widespread,Widespread
24,"Southern Mexico, Belize, Guatemala, and El Salvador",Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
25,"Honduras, Nicaragua, Costa Rica, and Panama",Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,Widespread,Widespread,Widespread
26,The Caribbean,None,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,Common,Common,Widespread,Widespread,Widespread,None,None,None,None,None,Minimal,Minimal,Minimal,Widespread,Widespread
27,Northern Andes Mountains,Widespread,Widespread,Widespread,Common,Common,Common,Common,Common,Common,Common,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Common,Common,Common,Common,Widespread,Widespread,Widespread
28,Llanos,Minimal,Minimal,Common,Common,Common,Widespread,Widespread,Widespread,Common,Minimal,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,None,None,Common,Common,Minimal,Minimal,Common,None,None,None,None,None,None,None,None,Minimal,Common
29,Guiana Highlands,Minimal,Minimal,Common,Common,Common,Widespread,Common,Common,Common,Common,None,None,Minimal,Minimal,Minimal,Common,Common,Common,Common,Common,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Common,None,None,None,None,None,None,None,None,None,Minimal
30,Amazon Basin,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Minimal,Widespread,Minimal,Minimal,Minimal,Common,Widespread
31,Brazilian Highlands,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,Minimal,Common,Common,Common,Common,Widespread,None,None,None,None,None,None,None,Minimal,Common,Widespread
32,Central Andes Mountains,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Widespread,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Minimal,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
33,Gran Chaco,Minimal,Common,Common,Common,Common,Common,Widespread,Widespread,Common,Common,None,None,Minimal,Minimal,Minimal,Common,Widespread,Widespread,Widespread,Common,None,None,None,Minimal,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread
34,Southern Andes Mountains,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Widespread,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
35,Pamapas,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Minimal,Common,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,Minimal,Widespread,Widespread,None,None,None,None,None,None,None,Common,Common,Widespread
36,Patagonia,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,None,None,None,Minimal,Minimal,Minimal,Common,Common,Common,Common,None,None,None,Minimal,Minimal,Minimal,Common,Common,Common,Widespread
37,Iceland,None,None,None,None,None,None,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,Widespread,Widespread,Widespread,Widespread
38,United Kingdom and Ireland,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
39,Scandinavia,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
40,"Finland, Estonia, Latvia, and Lithuania",Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Minimal,Common,Common,Widespread,Common,Widespread,Widespread,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
41,Spain and Portugal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
42,France,Widespread,Widespread,Common,Common,Common,Common,Common,Common,Common,Common,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
43,Central Europe,Widespread,Widespread,Widespread,Common,Common,Common,Common,Minimal,Minimal,Minimal,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
44,Southern Europe,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
45,Eastern Europe,Widespread,Widespread,Widespread,Common,Common,Common,Common,Common,Common,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
46,Belarus,Widespread,Widespread,Widespread,Common,Common,Common,Common,Minimal,Minimal,Minimal,None,Minimal,Common,Common,Common,Common,Common,Common,Common,Common,None,None,None,Minimal,Minimal,Common,Common,Common,Widespread,Widespread,None,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
47,Ukraine,Widespread,Widespread,Widespread,Common,Common,Common,Common,Widespread,Common,Common,Minimal,Common,Widespread,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
48,"Romania, Bulgaria, and Moldova",Widespread,Widespread,Common,Common,Common,Common,Common,Minimal,Minimal,Minimal,None,Common,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
49,Northwestern Russia,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Minimal,Minimal,Minimal,Common,Common,Common,Common,None,None,None,None,None,Minimal,Common,Common,Common,Common,None,None,Minimal,Common,Common,Common,Widespread,Widespread,Widespread,Widespread
50,Central Russia,Widespread,Widespread,Widespread,Widespread,Common,Minimal,Minimal,Minimal,Minimal,Minimal,None,Minimal,Minimal,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
51,Southern Russia,Widespread,Widespread,Widespread,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Widespread,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
52,Volga,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Common,Common,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
53,Urals,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Common,Common,None,None,None,None,None,None,None,None,Minimal,Minimal,None,None,Minimal,Common,Common,Common,Common,Common,Common,Common
54,Siberia,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Widespread,Widespread,Common,None,None,None,Minimal,Common,Widespread,Common,Common,Widespread,Widespread,None,None,None,None,Common,Common,Common,Widespread,Widespread,Widespread,None,None,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
55,Far Eastern Russia,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Minimal,Common,Common,Common,Common,Common,Common,Common,Widespread,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,Common,Minimal,None,Minimal,Minimal,Common,Common,Common,Common,Common,Common
56,Turkey,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Widespread,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
57,The Caucasus,Widespread,Widespread,Common,Common,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
58,"Syria, Cyprus, and the Levant",Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
59,Iraq,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
60,Northwestern Iran,Widespread,Widespread,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Widespread,Common,Common,Common,Common,Widespread,Common,Widespread,Widespread,Minimal,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
61,Western Iran,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Minimal,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
