Region,Label,FHG_10KBP,FHG_8KBP,FHG_6KBP,FHG_4KBP,FHG_3KBP,FHG_2KBP,FHG_1KBP,FHG_1500CE,FHG_1750CE,FHG_1850CE,EXAGR_10KBP,EXAGR_8KBP,EXAGR_6KBP,EXAGR_4KBP,EXAGR_3KBP,EXAG_2KBP,EXAG_1KBP,EXAG_1500CE,EXAG_1750CE,EXAG_1850CE,INAG_10KBP,INAG_8KBP,INAG_6KBP,INAG_4KBP,INAG_3KBP,INAG_2KBP,INAG_1KBP,INAG_1500CE,INAG_1750CE,INAG_1850CE,PAS_10KBP,PAS_8KBP,PAS_6KBP,PAS_4KBP,PAS_3KBP,PAS_2KBP,PAS_1KBP,PAS_1500CE,PAS_1750CE,PAS_1850CE,URBAN_10kbp,URBAN_8kbp,URBAN_6kbp,URBAN_4kbp,URBAN_3kbp,URBAN_2kbp,URBAN_1kbp,URBAN_1500CE,URBAN_1750CE,URBAN_1850CE
71,Northeastern Libya,Widespread,Widespread,Common,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Common,Common,Common,Common,Widespread,Widespread,Widespread,None,None,None,None,None,Common,Common,Common,Common,Common,None,Common,Widespread,Widespread,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
72,Egypt,Widespread,Widespread,Widespread,Common,Common,Common,Common,Common,Common,Common,None,None,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,None,Minimal,Widespread,Common,Common,Widespread,Widespread,Widespread,Common,Common,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present
73,Sudan,Widespread,Widespread,Widespread,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Common,Common,Common,Common,Common,Common,Common,Common,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present
74,Mauritania,Widespread,Widespread,Widespread,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Common,Common,Minimal,None,None,None,None,None,None,None,None,None,Common,Common,Common,Common,None,None,None,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Split,Split,Absent,Split,Present,Present,Present
75,"Senegal, The Gambia, and Guinea-Bissau",Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,Common,None,None,None,None,None,Widespread,Widespread,Common,Common,Common,None,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,None,None,None,None,None,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Absent,Split,Present,Present,Present
76,Mali,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,Common,None,None,Minimal,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,Common,Widespread,Widespread,Widespread,Widespread,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
77,"Guinea, Sierra Leone, Liberia, and Côte d'Ivoire",Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,Widespread,Common,Minimal,Common,Common,None,None,None,None,None,None,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,None,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present
78,Burkina Faso,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Minimal,Minimal,None,None,None,Minimal,Common,Widespread,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Common,Common,Common,Common,None,None,None,None,None,Common,Common,Widespread,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Split,Present,Present,Present,Present
79,"Ghana, Togo, and Benin",Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,None,None,None,Minimal,Minimal,Common,Common,Minimal,Minimal,Minimal,None,None,None,None,None,None,Common,Common,Common,Widespread,None,None,None,None,None,Minimal,Common,Common,Common,Common,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
80,Niger,Widespread,Widespread,Common,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Common,Common,None,None,None,None,None,None,None,None,None,Minimal,Common,Minimal,Minimal,Minimal,None,None,Minimal,Common,Common,Widespread,Widespread,Common,Common,Common,Absent,Absent,Absent,Absent,Absent,Split,Split,Present,Present,Present
81,Nigeria,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Minimal,Minimal,Minimal,None,None,None,None,Common,Widespread,Common,Common,Common,Common,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,Common,Common,Common,Common,Common,Common,Absent,Absent,Absent,Absent,Absent,Split,Present,Present,Present,Present
82,Chad and Central African Republic,Widespread,Widespread,Widespread,Common,Minimal,Minimal,None,Minimal,Minimal,Minimal,None,None,None,None,None,Common,Widespread,Common,Common,Common,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Absent,Split,Present,Present,Present
83,"Cameroon, Equatorial Guinea, Gabon, and Republic of the Congo",Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,Common,Common,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Common,None,None,None,None,None,Minimal,Common,Common,Common,Widespread,None,None,None,Minimal,Minimal,Minimal,Minimal,Common,Common,Common,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
84,Democratic Republic of the Congo,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,Common,Common,Common,Common,Common,None,None,None,None,None,None,Minimal,Common,Common,Widespread,None,None,None,None,None,None,None,None,None,None,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present
85,Angola,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Minimal,Minimal,None,None,None,None,Minimal,Common,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,Minimal,Common,Common,None,None,None,None,None,Minimal,Common,Common,Common,Common,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present
86,Namibia,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,Minimal,Minimal,None,None,None,None,None,Minimal,Common,Common,Common,Common,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
87,Botswana,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,None,None,None,None,None,None,Common,Common,Common,Common,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Minimal,Common,Common,Common,Widespread,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present
88,South Africa,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,None,None,None,None,None,None,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,Minimal,Common,Common,Common,None,None,None,None,None,Minimal,Common,Common,Common,Widespread,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present
89,South Sudan,Widespread,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present
90,Eritrea and Djibouti,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,Minimal,Minimal,None,Minimal,Widespread,Common,Common,Common,Common,None,None,None,None,None,Common,Common,Common,Common,Common,None,Minimal,Minimal,Minimal,Common,Common,Common,Common,Common,Common,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Present
91,Ethiopia,Widespread,Widespread,Widespread,Common,Common,Common,Minimal,Common,Common,Minimal,None,None,None,Minimal,Common,Common,Common,Common,Widespread,Widespread,None,None,None,None,None,Minimal,Common,Common,Widespread,Widespread,None,None,Minimal,Common,Common,Common,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
92,"Uganda, Rwanda, and Burundi",Minimal,Minimal,Common,Common,Common,Common,Common,Minimal,Minimal,Minimal,None,None,None,None,None,Common,Common,Widespread,Widespread,Widespread,None,None,None,None,None,Minimal,Minimal,Common,Common,Common,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
93,Kenya,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,None,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,Minimal,Common,Common,Common,None,None,None,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present
94,Somalia,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,None,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,Common,Common,Common,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present
95,Tanzania,Common,Common,Common,Common,Common,Common,Common,Common,Common,Minimal,None,None,None,None,None,Minimal,Common,Widespread,Common,Widespread,None,None,None,None,None,None,Common,Common,Common,Common,None,None,None,Minimal,Common,Common,Common,Widespread,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present
96,"Zambia, Zimbabwe, Malawi, and Mozambique",Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,None,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,Minimal,Minimal,Minimal,Common,None,None,None,None,None,Minimal,Common,Common,Common,Common,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present
97,Madagascar,None,None,None,Minimal,Minimal,Minimal,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,Common,Common,Widespread,Widespread,None,None,None,None,None,None,Minimal,Common,Widespread,Widespread,None,None,None,None,None,None,Minimal,Common,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present
98,Northwestern Kazakhstan,Widespread,Widespread,None,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,None,Minimal,Common,Minimal,Minimal,Minimal,Common,None,None,None,None,None,None,None,None,None,None,None,None,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Widespread,Absent,Absent,Absent,Absent,Split,Split,Split,Split,Split,Split
99,Western Central Asia,Widespread,Widespread,Widespread,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Widespread,Widespread,Common,Common,Widespread,Widespread,Common,None,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present
100,Northern Kazakhstan,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
101,Eastern Kazakhstan,Minimal,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Absent,Split,Split,Present,Present,Present,Present
102,Turan Lowland,Common,Common,Common,Common,Common,Minimal,Common,Common,Common,Common,None,None,Minimal,Minimal,Common,Minimal,Common,Common,Common,Common,None,None,Minimal,Common,Common,Common,Common,Common,Widespread,Widespread,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present
103,Southeastern Central Asia,Common,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Common,Common,Common,Common,Common,Common,Common,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present
104,Afghanistan,Widespread,Widespread,Common,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,Common,Common,None,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present
105,Pakistan,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,Minimal,Minimal,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,None,Minimal,Widespread,Minimal,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Common,Common,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,Absent,Split,Present,Present,Present,Present,Present,Present,Present,Present
106,Himalayas,Common,Minimal,Common,Common,Common,Common,Common,Common,Common,Minimal,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,Common,Common,Common,Common,Common,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
107,Northern India,Widespread,Widespread,Common,Common,Common,Common,Common,Minimal,Minimal,Minimal,None,Minimal,Common,Common,Common,Common,Widespread,Common,Common,Common,None,None,Common,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present
108,Southwestern India,Widespread,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
109,Northwestern India,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,Minimal,Common,Common,Common,Common,Common,Common,Common,Common,None,None,Widespread,Widespread,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Present
110,Southern India,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Minimal,Minimal,Minimal,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
111,Eastern India and Bangladesh,Common,Common,Common,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Common,Common,Common,Widespread,Widespread,Widespread,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,Absent,Absent,Absent,Absent,Absent,Split,Present,Present,Present,Present
112,Northeastern India and Bhutan,Widespread,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Common,Common,Common,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,Minimal,Common,Common,Common,Common,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Absent,Absent,Absent,Absent,Absent,Split,Present,Present,Present,Present
113,Sri Lanka,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,None,None,None,None,Common,Common,Widespread,Widespread,Widespread,Widespread,None,None,None,None,Minimal,Common,Common,Common,Common,Common,None,None,None,None,Minimal,Common,Common,Common,Common,Common,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present
114,Northwestern China,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Common,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present
115,Mongolia,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,Common,None,Minimal,None,Minimal,Minimal,Minimal,Common,Minimal,Common,Common,None,None,None,None,None,Minimal,Common,Common,Common,Common,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
116,Northeastern China,Common,Common,Common,Common,Common,Common,Common,Common,Common,Common,None,Minimal,Minimal,Minimal,Common,Common,Common,Common,Common,Common,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,None,Minimal,Common,Common,Common,Common,Common,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
117,Korea,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Minimal,Minimal,Minimal,Minimal,None,Minimal,Minimal,Minimal,Widespread,Common,Common,Common,Common,Minimal,None,None,None,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,Minimal,Common,Common,Common,Common,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
118,Tibet,Common,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Common,Minimal,Common,Common,Common,Common,Common,None,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,None,None,Minimal,Common,Common,Common,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present
119,North Central China,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,Minimal,Common,Widespread,Common,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Common,Widespread,None,None,None,Common,Common,Common,Common,Common,Common,Common,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present
120,Northern China,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,Minimal,Common,Common,Common,Minimal,Minimal,Minimal,Common,Minimal,None,None,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present
121,South Central China,Widespread,Common,Common,Common,Common,Minimal,Minimal,None,None,None,None,None,Minimal,Common,Widespread,Common,Common,Common,Common,Common,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present
122,Southeastern China and Taiwan,Widespread,Widespread,Widespread,Common,Common,Common,Minimal,None,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,Minimal,Common,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
123,Eastern China,Widespread,Widespread,Common,Common,Minimal,Minimal,None,None,None,None,None,Common,Widespread,Common,Widespread,Widespread,Common,Common,Common,Minimal,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,None,Absent,Absent,Split,Present,Present,Present,Present,Present,Present,Present
124,Japan,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Minimal,Minimal,Common,None,Minimal,Minimal,Minimal,Minimal,Common,Widespread,Common,Common,Common,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,None,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
125,Myanmar,Common,Common,Common,Common,Common,Common,Common,Common,Common,Common,None,None,None,Minimal,Common,Common,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,Common,Common,Widespread,Widespread,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present
126,Thailand,Common,Widespread,Widespread,Common,Widespread,Common,Common,Common,Common,Common,None,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,Minimal,None,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present
127,Laos,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,None,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,Minimal,Minimal,Common,Widespread,Widespread,None,None,None,None,None,None,None,None,None,Minimal,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present
128,Vietnam and Cambodia,Common,Common,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Common,Common,Common,Widespread,Widespread,Widespread,None,None,None,None,None,Common,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,None,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present
129,Peninsular Malaysia,Common,Common,Common,Common,Common,Common,Common,Common,Minimal,Minimal,None,None,None,None,None,None,Minimal,Minimal,Common,Common,None,None,None,None,None,None,None,None,Common,Common,None,None,None,None,None,None,None,None,None,None,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present
130,Sumatra,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,None,None,None,None,None,Minimal,Common,Common,Widespread,Widespread,Common,Minimal,Minimal,None,None,None,Minimal,Minimal,Common,Widespread,Widespread,Widespread,Widespread,None,None,None,Minimal,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
131,Java and Timor,Widespread,Widespread,Widespread,Common,Common,Common,Common,Common,Common,Common,None,Minimal,Minimal,Common,Common,Widespread,Common,Common,Widespread,Widespread,None,None,None,Common,Common,Common,Widespread,Widespread,Widespread,Widespread,None,None,None,Minimal,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
132,Borneo,Widespread,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Minimal,Common,Widespread,Common,Common,Common,Common,None,None,None,None,Minimal,Common,Common,Common,Widespread,Widespread,None,None,None,Minimal,Common,Widespread,Common,Common,Widespread,Widespread,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present
133,Philippines,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Minimal,Common,Common,Common,Widespread,Widespread,Widespread,None,None,None,None,Minimal,Minimal,Minimal,Common,Common,Common,None,None,None,None,None,None,None,None,None,None,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present
134,Indonesia,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Minimal,Common,Widespread,Common,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,None,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present
135,Papua New Guinea,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,Minimal,Minimal,Common,Common,Common,Common,Common,Widespread,Widespread,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,None,None,None,None,None,None,None,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
136,Western Australia,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,Minimal,Minimal,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,None,Minimal,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Split
137,Northern Territory Australia,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,None,Minimal,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
138,South Australia,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,None,None,None,None,None,None,None,None,None,Common,None,None,None,None,None,None,None,None,None,Common,None,None,None,None,None,None,None,None,None,Common,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
139,Queensland,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,None,Common,None,None,None,None,None,None,None,None,None,Common,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
140,New South Wales,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,None,None,None,None,None,None,None,None,None,Common,None,None,None,None,None,None,None,None,None,Common,None,None,None,None,None,None,None,None,None,Widespread,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
141,Victoria and Tasmania,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,None,None,None,None,None,None,None,None,None,Common,None,None,None,None,None,None,None,None,None,Widespread,None,None,None,None,None,None,None,None,None,Widespread,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
142,Melanesia,Common,Common,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,Minimal,Common,Common,Common,Common,Widespread,None,None,None,None,None,None,None,None,None,Minimal,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Split,Present
143,New Zealand,None,None,None,None,None,None,None,Common,Common,Common,None,None,None,None,None,None,None,Common,Common,Common,None,None,None,None,None,None,None,Common,Common,Common,None,None,None,None,None,None,None,None,None,Minimal,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
