Region,Label,FHG_10KBP,FHG_8KBP,FHG_6KBP,FHG_4KBP,FHG_3KBP,FHG_2KBP,FHG_1KBP,FHG_1500CE,FHG_1750CE,FHG_1850CE,EXAGR_10KBP,EXAGR_8KBP,EXAGR_6KBP,EXAGR_4KBP,EXAGR_3KBP,EXAG_2KBP,EXAG_1KBP,EXAG_1500CE,EXAG_1750CE,EXAG_1850CE,INAG_10KBP,INAG_8KBP,INAG_6KBP,INAG_4KBP,INAG_3KBP,INAG_2KBP,INAG_1KBP,INAG_1500CE,INAG_1750CE,INAG_1850CE,PAS_10KBP,PAS_8KBP,PAS_6KBP,PAS_4KBP,PAS_3KBP,PAS_2KBP,PAS_1KBP,PAS_1500CE,PAS_1750CE,PAS_1850CE
23,Central Mexico,Widespread,Widespread,Widespread,Common,Common,Common,Common,Common,Minimal,Minimal,None,Minimal,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,Widespread,Widespread
24,"Southern Mexico, Belize, Guatemala, and El Salvador",Common,Common,Common,Widespread,Common,Common,Common,Common,Common,Common,None,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Minimal,Common,Common,Widespread,Common,Common,Widespread,None,None,None,None,None,None,None,None,Common,Common
25,"Honduras, Nicaragua, Costa Rica, and Panama",Common,Widespread,Widespread,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Common,None,Minimal,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,Minimal,Common,Minimal,Common,Widespread,None,None,None,None,None,None,None,None,Common,Common
26,The Caribbean,None,Minimal,Minimal,Common,Common,Widespread,Widespread,Widespread,Common,Common,None,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,None,None,None,None,None,None,None,Minimal,Widespread,Widespread,None,None,None,None,None,None,None,None,Minimal,Common
27,Northern Andes Mountains,Minimal,Minimal,Common,Common,Common,Minimal,Common,Common,Minimal,Minimal,None,None,None,Minimal,Common,Common,Common,Widespread,Widespread,Widespread,None,None,None,None,Common,Common,Common,Common,Common,Common,None,None,None,Minimal,Common,Common,Common,Common,Common,Common
28,Llanos,Minimal,None,Minimal,Minimal,Common,None,None,None,Minimal,None,None,None,Minimal,Minimal,Common,Common,Common,Common,Minimal,Minimal,None,None,None,None,None,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None
29,Guiana Highlands,Minimal,Minimal,Common,Common,Common,Widespread,Common,Common,Common,Common,None,None,Minimal,Minimal,Minimal,Common,Common,Common,Common,Common,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Common,None,None,None,None,None,None,None,None,None,Minimal
30,Amazon Basin,Minimal,Common,Common,Widespread,Widespread,Widespread,Common,Widespread,Common,Common,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,None,Minimal,Minimal,Common,Minimal,Common,Minimal,None,None,None,None,None,None,None,None,Minimal,Common
31,Brazilian Highlands,Common,Common,Widespread,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,None,None,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,Minimal,Common,Common,None,None,None,None,None,None,None,None,Minimal,Common
32,Central Andes Mountains,Common,Common,Widespread,Common,Common,Common,Common,Common,Minimal,Minimal,None,Minimal,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,Minimal,Minimal,Common,Common,Widespread,Widespread,Widespread,Widespread,Widespread
33,Gran Chaco,Minimal,Minimal,Common,Common,Common,Common,Common,Minimal,Minimal,None,None,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,None,None,None,None,None,Minimal,Minimal,Minimal,Common,Common,None,None,None,None,None,None,None,None,Common,Common
