Region,Label,FHG_10kbp,FHG_8kbp,FHG_6kbp,FHG_4kbp,FHG_3kbp,FHG_2kbp,FHG_1kbp,FHG_1500CE,FHG_1750CE,FHG_1850CE,EXAG_10kbp,EXAG_8kbp,EXAG_6kbp,EXAG_4kbp,EXAG_3kbp,EXAG_2kbp,EXAG_1kbp,EXAG_1500CE,EXAG_1750CE,EXAG_1850CE,INAG_10kbp,INAG_8kbp,INAG_6kbp,INAG_4kbp,INAG_3kbp,INAG_2kbp,INAG_1kbp,INAG_1500CE,INAG_1750CE,INAG_1850CE,PAS_10kbp,PAS_8kbp,PAS_6kbp,PAS_4kbp,PAS_3kbp,PAS_2kbp,PAS_1kbp,PAS_1500CE,PAS_1750CE,PAS_1850CE
24,"Southern Mexico, Belize, Guatemala, and El Salvador",None,Minimal,None,Minimal,None,None,None,None,None,None,None,None,None,None,Minimal,Common,Common,Common,Common,Common,None,None,None,None,None,Minimal,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None
25,"Honduras, Nicaragua, Costa Rica, and Panama",None,Minimal,Minimal,Minimal,Minimal,None,None,Common,None,None,None,None,None,None,None,Minimal,Common,Minimal,Minimal,Common,None,None,None,None,None,None,Minimal,None,None,Common,None,None,None,None,None,None,None,None,None,Minimal
26,The Caribbean,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Common,Common,None,None,None,None,None,None,None,None,Common,Common,None,None,None,None,None,None,None,None,None,None
27,Northern Andes Mountains,None,Minimal,Minimal,Common,Minimal,None,None,None,None,None,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,None,Minimal,Common,Common,Common,Common,Common,None,None,None,None,Minimal,Common,Common,Common,Common,Common
28,Llanos,Minimal,None,Minimal,Minimal,Common,None,None,None,Minimal,None,None,None,Minimal,Minimal,Common,Common,Common,Common,Minimal,Minimal,None,None,None,None,None,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None
29,Guiana Highlands,Minimal,Minimal,Common,Common,Common,Widespread,Common,Common,Common,Common,None,None,Minimal,Minimal,Minimal,Common,Common,Common,Common,Common,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Common,None,None,None,None,None,None,None,None,None,Minimal
30,Amazon Basin,Minimal,Minimal,Minimal,None,None,None,None,Common,Minimal,Minimal,None,None,None,None,None,Minimal,Minimal,Common,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
31,Brazilian Highlands,Common,Common,Common,Common,Common,Common,Minimal,Minimal,None,None,None,None,None,Minimal,Common,Widespread,Common,Common,Common,Common,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
32,Central Andes Mountains,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,Minimal,Common,Common,Minimal,Minimal,Common,None,None,None,Minimal,Minimal,Common,Common,Common,Minimal,Minimal,None,None,None,Minimal,Common,Common,Common,Common,Minimal,Common
33,Gran Chaco,None,None,None,None,Minimal,Minimal,None,None,None,None,None,None,None,None,None,Minimal,Common,Common,Common,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,Minimal,Minimal
34,Southern Andes Mountains,Minimal,Minimal,None,Minimal,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Common,Common,Common
35,Pamapas,Minimal,Minimal,Common,Common,Common,Common,Common,Common,Common,Common,None,None,None,None,None,None,None,Minimal,Minimal,Common,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Common
36,Patagonia,Minimal,Minimal,Minimal,Minimal,Common,Common,Widespread,Widespread,Common,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
37,Iceland,None,None,None,None,None,None,Common,Common,Common,Common,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Common,Common,Common,Common
38,United Kingdom and Ireland,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Common,None,None,None,Minimal,Common,Common,Common,Common,Minimal,Minimal
39,Scandinavia,None,Minimal,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Common,Common,Common,Common,Minimal,Minimal,None,None,None,None,None,None,Common,Common,Common,Common,None,None,None,Minimal,Minimal,Minimal,Common,Common,Widespread,Widespread
40,"Finland, Estonia, Latvia, and Lithuania",None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,Minimal,Common,Common,Common,None,None,None,Minimal,Minimal,Minimal,Common,Common,Common,Common
41,Spain and Portugal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Common,Common,None,None,None,None,None,None,None,Common,Common,Common,None,None
42,France,Common,Common,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Common,Widespread,Common,Widespread,Widespread,Widespread,None,None,Common,Common,Common,Widespread,Common,Common,Widespread,Widespread
43,Central Europe,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,Common,Widespread,Widespread,Widespread,Widespread,None,None,Common,Common,Common,Common,Common,Common,Common,Common
44,Southern Europe,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,None,None,None,Minimal,Common,Minimal,Minimal,Common,Common,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal
45,Eastern Europe,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Widespread,Widespread,Common,Minimal,Common,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Common,Common,None,None,Common,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal
46,Belarus,Widespread,Widespread,Widespread,Common,Common,Common,Common,Minimal,Minimal,Minimal,None,Minimal,Common,Common,Common,Common,Common,Common,Common,Common,None,None,None,Minimal,Minimal,Common,Common,Common,Widespread,Widespread,None,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
47,Ukraine,Minimal,Common,Common,Minimal,Minimal,None,None,Minimal,None,None,None,None,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
48,"Romania, Bulgaria, and Moldova",Widespread,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Widespread,Common,Common,Common,Common,Widespread,Widespread,Widespread,None,None,Minimal,Common,Common,Common,Minimal,Minimal,Common,Common
49,Northwestern Russia,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,Minimal,Minimal,Minimal,Common,None,None,None,None,None,None,None,None,None,Minimal,None,None,Minimal,Minimal,Minimal,Minimal,Common,Common,Common,Common
50,Central Russia,Widespread,Widespread,Widespread,Widespread,Common,Minimal,Minimal,Minimal,Minimal,Minimal,None,Minimal,Minimal,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
51,Southern Russia,Minimal,Common,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Common,Common,Common,Common,Common,Widespread,Widespread,None,None,None,None,Minimal,Common,Common,Common,Widespread,Widespread,None,None,Minimal,Common,Common,Common,Common,Common,Common,Widespread
52,Volga,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Common,Common,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
53,Urals,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Common,Common,None,None,None,None,None,None,None,None,Minimal,Minimal,None,None,Minimal,Common,Common,Common,Common,Common,Common,Common
54,Siberia,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Minimal,Minimal,Minimal,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Common,Common,None,None,None,None,None,None,None,None,Minimal,Common,None,None,None,Common,Common,Common,Widespread,Widespread,Common,Common
55,Far Eastern Russia,Common,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,Common,Minimal,None,None,None,None,None,Minimal,Minimal,Common,None,Common,None,None,None,None,None,None,Minimal,Minimal,None,Minimal,None,None,None,None,None,None,Minimal,Minimal,None,Common
56,Turkey,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Minimal,None,None,None,None,None,None,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal
57,The Caucasus,None,Minimal,Minimal,Common,Common,Common,Common,None,None,None,None,Minimal,Minimal,Common,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Minimal,Common,Common,Common,Common,None,None,None,None,Minimal,Minimal,Common,Widespread,Widespread,Common,None,None,None
58,"Syria, Cyprus, and the Levant",Minimal,Minimal,None,None,None,None,None,None,None,None,None,Minimal,None,None,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,None,Minimal,None,None,None,Minimal,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal
59,Iraq,Minimal,Minimal,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Common,Common,Common,Common,Minimal,Minimal,Common,None,Minimal,Common,Common,Common,Common,Common,Common,Common,Common
60,Northwestern Iran,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,Minimal,None,None,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Common,None,Minimal,Common,Common,Common,Common,Common,Common,Common,Common
61,Western Iran,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Common,Minimal,Common,Common,Minimal,Common,Common,None,Minimal,Minimal,Common,Common,Common,Common,Common,Common,Common
62,Eastern Iran,None,None,None,None,None,None,None,None,None,None,None,Minimal,Common,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,Common,Minimal,Common,Common,None,Common,Common,None,Common,Common,Common,Common,Common,Minimal
63,Arabia,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Common,Common,Common,Common,Common,Common,Common
64,"Yemen, Oman, and the UAE",Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Minimal,Minimal,Minimal,Common,Common,Common,Common
65,Morocco,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Minimal,Minimal,Common,Common,Common,Common,Common,None,None,None,None,None,Minimal,Common,Common,Common,Common,None,None,Minimal,Common,Minimal,Common,Common,Common,Minimal,Minimal
66,Northern Algeria,Widespread,Widespread,Widespread,Minimal,None,None,None,None,None,None,None,None,None,None,None,Minimal,Common,Common,Common,Common,None,None,None,None,None,Minimal,Common,Common,Common,Common,None,Minimal,Minimal,Common,Common,Common,Common,Common,Widespread,Widespread
67,Tunisia,Common,Common,Common,Common,Minimal,None,None,Minimal,None,None,None,None,None,Common,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Minimal,Widespread,Common,Common,Common,Common,None,Minimal,Common,Common,Widespread,Common,Widespread,Common,Common,Common
68,Southern Algeria,Widespread,Widespread,Common,Minimal,None,None,None,None,None,None,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,None,None,None,None,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
69,Northwestern Libya,Widespread,Widespread,Common,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,None,Minimal,Common,Common,Common,Common,Common,None,None,Common,Common,Common,Common,Common,Widespread,Widespread,Widespread
70,Southern Libya,Common,Common,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Common,Minimal,Common,Minimal,Common,Minimal,Common
71,Northeastern Libya,Widespread,Widespread,Common,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,None,Minimal,Common,Common,Common,Common,Common,Common,Common,Common
72,Egypt,Minimal,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,Common,None,Minimal,Common,Minimal,Minimal,Common,Minimal,Minimal,Minimal,Minimal
73,Sudan,Common,Common,Common,Minimal,None,Minimal,None,None,None,None,None,None,Minimal,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,Common,None,None,Minimal,Common,Common,Common,Common,Common,Common,Common
74,Mauritania,Widespread,Widespread,Widespread,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Common,Common,Minimal,None,None,None,None,None,None,None,None,None,Common,Common,Common,Common,None,None,None,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
75,"Senegal, The Gambia, and Guinea-Bissau",Widespread,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Common,Common,None,None,None,None,None,Widespread,Widespread,Common,Common,Common,None,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,None,None,None,None,None,Widespread,Widespread,Widespread,Widespread,Widespread
76,Mali,Widespread,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Common,Widespread,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Common,Common,Common,Common,None,None,None,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
