Region,Label,FHG_10kbp,FHG_8kbp,FHG_6kbp,FHG_4kbp,FHG_3kbp,FHG_2kbp,FHG_1kbp,FHG_1500CE,FHG_1750CE,FHG_1850CE,EXAG_10kbp,EXAG_8kbp,EXAG_6kbp,EXAG_4kbp,EXAG_3kbp,EXAG_2kbp,EXAG_1kbp,EXAG_1500CE,EXAG_1750CE,EXAG_1850CE,INAG_10kbp,INAG_8kbp,INAG_6kbp,INAG_4kbp,INAG_3kbp,INAG_2kbp,INAG_1kbp,INAG_1500CE,INAG_1750CE,INAG_1850CE,PAS_10kbp,PAS_8kbp,PAS_6kbp,PAS_4kbp,PAS_3kbp,PAS_2kbp,PAS_1kbp,PAS_1500CE,PAS_1750CE,PAS_1850CE
96,"Zambia, Zimbabwe, Malawi, and Mozambique",Common,Common,Common,Common,Common,Common,Common,Minimal,Minimal,Minimal,None,None,None,None,None,None,Common,Common,Common,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal
97,Madagascar,None,None,None,None,None,None,Minimal,Minimal,Minimal,Common,None,None,None,None,None,None,Minimal,Common,Widespread,Widespread,None,None,None,None,None,None,None,Minimal,Common,Common,None,None,None,None,None,None,None,Minimal,Common,Widespread
98,Northwestern Kazakhstan,Widespread,Widespread,None,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,None,Minimal,Common,Minimal,Minimal,Minimal,Common,None,None,None,None,None,None,None,None,None,None,None,None,Widespread,Widespread,Widespread,Widespread,Common,Common,Common,Widespread
99,Western Central Asia,Widespread,Widespread,Widespread,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Widespread,Widespread,Common,Common,Widespread,Widespread,Common,None,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Common
100,Northern Kazakhstan,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
101,Eastern Kazakhstan,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Common,Common,Common,Common,Common,Common
102,Turan Lowland,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Common,Common,Common,Common,Common,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread
103,Southeastern Central Asia,Minimal,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Common,Common,Common,Common,Minimal,Minimal,None,None,None,Minimal,Minimal,Minimal,Common,Common,Common,Common,None,None,None,Common,Common,Common,Common,Common,Common,Common
104,Afghanistan,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Common,Common,Common,Common,None,None,Minimal,Common,Common,Common,Common,Common,Common,Common
105,Pakistan,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,Minimal,Minimal,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Widespread,Minimal,Minimal,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,Common,Common,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal
106,Himalayas,None,None,None,None,Minimal,None,None,Minimal,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Common,Common,Common,Common,Common,Common
107,Northern India,Widespread,Widespread,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,Minimal,Minimal,Widespread,Widespread,Common,Minimal,Minimal,Minimal,Minimal
108,Southwestern India,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,None,Minimal,None,None,None,None,Minimal,Common,Common,Common,Common,Common,None,None,None,Common,Widespread,Widespread,Common,Common,Common,Common
109,Northwestern India,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Common,Common,Common,Common,Common,Common,None,None,Common,Common,Common,Common,Common,Minimal,Minimal,Minimal
110,Southern India,Widespread,Widespread,Widespread,Minimal,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Common,Common,Widespread,Widespread,Widespread,None,None,None,Common,Common,Common,Common,Common,Common,Common
111,Eastern India and Bangladesh,Common,Common,Common,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Common,Common,Common,Widespread,Widespread,Widespread,None,None,None,Minimal,Common,Common,Common,Common,Common,Common
112,Northeastern India and Bhutan,Widespread,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Common,Common,Common,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,Minimal,Common,Common,Common,Common,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal
113,Sri Lanka,Common,Common,Common,Common,Common,Common,Common,Common,Minimal,Minimal,None,None,None,None,None,None,Common,Common,Common,Common,None,None,None,None,None,Minimal,Common,Common,Common,Common,None,None,None,None,None,Minimal,Common,Common,Common,Common
114,Northwestern China,None,None,None,Minimal,None,None,None,None,None,None,None,None,None,Minimal,Minimal,Common,Common,Common,Minimal,Minimal,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Common,Common,None,None,None,Common,Common,Common,Widespread,Widespread,Common,Common
115,Mongolia,Minimal,Common,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,Common,Common,Common,Common,Common,Common
116,Northeastern China,Minimal,Minimal,Common,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,Common,Common,Common,Common,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal
117,Korea,Minimal,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Common,Minimal,Minimal,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,None
118,Tibet,Common,Common,Common,Common,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,Common,Common,Common,Widespread,Widespread,Widespread,Widespread
119,North Central China,Common,Common,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,Common,Common,Common,Common,Minimal,Common,None,None,None,Common,Common,Common,Common,Common,Common,Common
120,Northern China,Common,Common,Minimal,Minimal,Minimal,None,None,None,None,None,None,Minimal,Common,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,Minimal,Minimal,Minimal,Minimal,None,None,None
121,South Central China,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,Common,None,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal
122,Southeastern China and Taiwan,Minimal,Minimal,Minimal,Common,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Common,Common,Common,Common,Common,None,None,None,None,None,None,None,None,None,None
123,Eastern China,Minimal,Minimal,Common,Minimal,Minimal,None,None,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Minimal,Common,Common,Common,Common,Common,Widespread,None,None,None,None,None,None,None,None,None,None
124,Japan,Widespread,Widespread,Minimal,Widespread,Widespread,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,None
125,Myanmar,Common,Minimal,Minimal,Minimal,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Minimal,Minimal,Common,Common,Widespread,None,None,None,None,None,None,None,Common,Common,Common,None,None,None,None,None,None,None,None,None,None
126,Thailand,Common,Minimal,Minimal,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Common,Common,Widespread,Common,Common,Common,None,None,None,None,None,Minimal,Common,Minimal,Minimal,Common,None,None,None,None,None,None,None,None,None,None
127,Laos,Common,Common,Common,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Common,Widespread,Widespread,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None
128,Vietnam and Cambodia,Minimal,Minimal,Minimal,Common,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,Common,Common,Common,Common,Common,Common,None,None,None,None,None,Minimal,Minimal,Common,Common,Common,None,None,None,None,None,None,None,None,None,None
129,Peninsular Malaysia,Common,Common,Common,Common,Common,Common,Common,Common,Minimal,Minimal,None,None,None,None,None,None,Minimal,Minimal,Common,Common,None,None,None,None,None,None,None,None,Common,Common,None,None,None,None,None,None,None,None,None,None
130,Sumatra,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,None,None,None,None,None,Minimal,Common,Common,Widespread,Widespread,Common,Minimal,Minimal,None,None,None,Minimal,Minimal,Common,Widespread,Widespread,Widespread,Widespread,None,None,Minimal,Minimal,Minimal,Common,Widespread,Widespread,Widespread,Widespread
131,Java and Timor,Minimal,Minimal,Common,Common,Common,Common,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,Common,Widespread,Widespread,None,None,None,None,None,None,None,Minimal,Common,Common
132,Borneo,Widespread,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,Minimal,None,None,Minimal,Minimal,Common,Widespread,Common,Common,Common,Common,None,None,None,None,Minimal,Common,Common,Common,Widespread,Widespread,None,None,Minimal,Minimal,Common,Widespread,Common,Common,Widespread,Widespread
133,Philippines,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,Minimal,Common,Widespread,Common,None,None,None,None,None,Minimal,Minimal,Minimal,Common,Common,None,None,None,None,None,None,None,None,None,None
134,Indonesia,Widespread,Widespread,Widespread,Common,Common,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Minimal,Common,Widespread,Common,Minimal,Minimal,Minimal,None,None,None,None,None,Minimal,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,None
135,Papua New Guinea,Common,Minimal,Minimal,Common,Minimal,Common,None,Common,Minimal,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
136,Western Australia,Common,Common,Common,Common,Common,Widespread,Common,Common,Common,Common,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
137,Northern Territory Australia,Common,Common,None,Common,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
138,South Australia,Common,Common,Common,Common,Common,Common,Common,Common,None,Common,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
139,Queensland,Minimal,Minimal,Common,Common,Common,Common,Common,Common,Common,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,None,Minimal
140,New South Wales,Common,Common,Common,Common,Common,Common,Common,Common,Common,Common,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Common,None,None,None,None,None,None,None,None,None,Common
141,Victoria and Tasmania,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Widespread,Minimal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Common,None,None,None,None,None,None,None,None,None,Widespread
142,Melanesia,None,None,None,None,Widespread,Common,Common,Common,Common,Common,None,None,None,None,Common,Common,Common,Common,Common,Common,None,None,None,None,None,Minimal,Common,Common,Common,Common,None,None,None,None,None,None,None,None,None,None
143,New Zealand,None,None,None,None,None,None,None,Common,Common,Minimal,None,None,None,None,None,None,None,Minimal,Minimal,Minimal,None,None,None,None,None,None,None,None,None,Minimal,None,None,None,None,None,None,None,None,None,None
144,Micronesia,None,None,None,None,Minimal,Common,Common,Minimal,Common,Minimal,None,None,None,None,Minimal,Minimal,Common,Common,Common,Common,None,None,None,None,None,None,None,Common,Common,Common,None,None,None,None,None,None,None,None,None,None
145,Polynesia,None,None,None,None,Minimal,Common,Common,Minimal,Minimal,Minimal,None,None,None,None,Minimal,Minimal,Minimal,Minimal,Minimal,Minimal,None,None,None,None,None,None,Minimal,Common,Common,Common,None,None,None,None,None,None,None,None,None,None
146,Hawaii,None,None,None,None,None,None,Common,Widespread,Widespread,Widespread,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Common,Common,Widespread,None,None,None,None,None,None,None,None,None,Minimal
