Region,Label,EXPERTISE_10kbp,EXPERTISE_8kbp,EXPERTISE_6kbp,EXPERTISE_4kbp,EXPERTISE_3kbp,EXPERTISE_2kbp,EXPERTISE_1kbp,EXPERTISE_1500CE,EXPERTISE_1750CE,EXPERTISE_1850CE
74,Mauritania,1,1.5,2,2,2,2,2,1.5,1,0.5
75,"Senegal, The Gambia, and Guinea-Bissau",1,1.5,1.5,2,2,2,2,1.5,0.5,0.5
76,Mali,1.5,1.5,1.5,2,2,2,2,1.5,1,0.5
77,"Guinea, Sierra Leone, Liberia, and Côte d'Ivoire",0,0,1,1,1,2,2,2,1,0
78,Burkina Faso,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,0.5
79,"Ghana, Togo, and Benin",0.5,1,1,1.5,2,2,2,2,1.5,1
80,Niger,1,1.5,1.5,1.5,0.5,0.5,0.5,0.5,0,0
81,Nigeria,1,1,1,1.5,1.5,1.5,1.5,1.5,1,0.5
82,Chad and Central African Republic,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,0.5
83,"Cameroon, Equatorial Guinea, Gabon, and Republic of the Congo",1,1,1.5,1.5,2,2,2,2,1,1
84,Democratic Republic of the Congo,0,1,1,1,1,1,1,1,0,0
85,Angola,1,1,1,1,1,2,2,1,1,1
86,Namibia,1,1,1,1,1,1.5,1.5,1.5,1.5,1.5
87,Botswana,1,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5
88,South Africa,1,1,1,1,1,1.5,1.5,1.5,1.5,1.5
89,South Sudan,0,0,0,0,1,1,1,1,1,1
90,Eritrea and Djibouti,1,1,2,2,2,2,2,2,2,2
91,Ethiopia,1,1,1.5,1.5,1.5,1.5,1.5,1,1,1
92,"Uganda, Rwanda, and Burundi",1.5,1.5,1.5,2,2,2,2,2,2,2
93,Kenya,1.5,1.5,1.5,1.5,2,2,2,2,2,2
94,Somalia,1.5,1.5,1.5,1.5,1.5,2,1.5,1.5,1,1
95,Tanzania,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2
96,"Zambia, Zimbabwe, Malawi, and Mozambique",1.5,1.5,1.5,1.5,1.5,2,2,2,2,1.5
97,Madagascar,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
